I love this sandwich,Pos
This is an amazing place,Pos
I feel very good about these beers,Pos
This is my best work,Pos
what an awesome view,Pos
I do not like this restaurant,Neg
I am tired of this stuff,Neg
I can't deal with this,Neg
He is my sworn enemy,Neg
My boss is horrible,Neg
This is an awesome place,Pos
I do not like the taste of this juice,Neg
I love to dance,Pos
I am sick and tired of this place,Neg
What a great holiday,Pos
That is a bad locality to stay,Neg
We will have good fun tomorrow,Pos
I went to my enemy's house today,Neg
